User Link,Reputation
"22656","815589"
"29407","618350"
"157882","602561"
"17034","582282"
"23354","564647"
"6309","531050"
"115145","506462"
"34397","475094"
"893","442140"
"14860","428045"
"95810","415174"
"19068","412872"
"100297","406471"
"23283","398052"
"13302","394086"
"157247","392327"
"69083","391618"
"5445","390334"
"61974","387509"
"20862","384846"
"15168","379382"
"13249","378376"
"505088","375893"
"335858","371342"
"88656","362099"
"65358","359384"
"18393","355489"
"70604","350749"
"1144035","344888"
"53114","340930"
"571407","335140"
"203907","333965"
"139985","327802"
"18936","323938"
"218196","322907"
"106224","320658"
"12950","314469"
"19563","313923"
"190597","309707"
"1583","308274"
"34509","302357"
"548225","299370"
"57695","289632"
"179910","283670"
"187606","280946"
"1968","278281"
"224671","277780"
"104349","264624"
"476","256140"
"413501","255346"
"479863","250780"
"20860","249779"
"16417","246067"
"33708","245156"
"21234","241364"
"118068","240564"
"596781","240401"
"9021","238496"
"50079","236222"
"10661","235506"
"138475","235262"
"27535","234528"
"114251","233026"
"284240","230030"
"922184","229955"
"31671","229163"
"55159","228009"
"3043","223669"
"28169","223217"
"151292","221741"
"73226","221008"
"182668","220489"
"816620","219203"
"992484","217895"
"367273","217677"
"16883","215810"
"70393","213551"
"12711","213531"
"276052","212525"
"9530","212135"
"37213","212073"
"1491895","207771"
"148870","206199"
"139459","204892"
"227665","204298"
"9951","203606"
"522444","202292"
"166749","202034"
"139010","199522"
"2988","196857"
"87234","195161"
"16076","194801"
"149392","194538"
"115730","191682"
"53013","191564"
"34211","188706"
"1288","187654"
"208809","187164"
"267","186729"
"13005","186646"
"105929","186006"
"103167","185533"
"65863","185156"
"263525","183914"
"507674","182958"
"18771","182089"
"131872","181713"
"34088","181376"
"77567","180771"
"6782","180719"
"119963","179472"
"415784","178313"
"1187415","177854"
"256196","177742"
"276101","177633"
"113716","177382"
"222908","177192"
"187690","177097"
"28804","176937"
"204847","176926"
"73070","176861"
"560648","176450"
"279627","175975"
"605744","174612"
"85371","174262"
"589924","173358"
"98713","172550"
"20670","172489"
"135152","172473"
"143305","171768"
"3153","171760"
"938089","170546"
"939860","169867"
"60761","169844"
"965051","169601"
"94197","168390"
"129570","168111"
"12960","167758"
"315935","166883"
"36305","166769"
"24181","166674"
"501557","164616"
"33213","164199"
"84651","163845"
"440558","163284"
"298479","163239"
"96100","161888"
"5987","160691"
"40342","160468"
"541091","160277"
"207421","159807"
"50742","159270"
"1048572","157377"
"14343","156218"
"3474","155588"
"230513","155195"
"734069","155071"
"6521","155028"
"47773","154723"
"54680","154466"
"673730","153403"
"103154","150442"
"215945","148863"
"491243","148288"
"661519","148238"
"75170","146993"
"5190","146061"
"464709","145969"
"68587","145950"
"405017","144609"
"45914","143863"
"535871","143641"
"4279","143407"
"104891","143381"
"61305","143213"
"330315","143111"
"908494","143020"
"33518","142166"
"829571","141364"
"10397","141188"
"82548","140863"
"260990","140153"
"342852","139742"
"19679","139377"
"36565","139335"
"2225682","139062"
"250259","138636"
"1855677","138317"
"14065","138061"
"26428","137965"
"25646","137697"
"50552","137602"
"263693","137140"
"134633","136781"
"223092","136344"
"14955","135902"
"55847","135661"
"17516","135391"
"69755","134253"
"405015","134028"
"1271826","133994"
"341994","133963"
"464744","133612"
"116908","133489"
"76337","131858"
"253056","131809"
"1159478","131728"
"438154","130611"
"41661","130498"
"13","130414"
"137350","129951"
"174728","129657"
"251311","128950"
"452307","128790"
"771848","128664"
"426671","128238"
"526535","127403"
"961113","127326"
"1011995","126960"
"418556","126727"
"126014","126640"
"15498","125098"
"126769","124066"
"147192","123528"
"21886","123506"
"97337","123326"
"366904","123048"
"76217","121983"
"748858","121362"
"470005","121349"
"367456","120880"
"827263","120074"
"635608","120070"
"33732","119839"
"102937","119164"
"324584","118945"
"126042","118731"
"46058","118427"
"201359","118206"
"615","118049"
"46642","117539"
"140719","117532"
"1197518","116971"
"244296","116873"
"417562","116716"
"851273","116601"
"846892","116121"
"1221571","115837"
"247533","114650"
"131527","114026"
"1226963","113870"
"35070","113728"
"229044","113621"
"379897","113263"
"252000","112502"
"95592","112146"
"7412","112119"
"5380","112043"
"36723","111769"
"1386886","111397"
"871026","110763"
"56338","110675"
"206403","110669"
"1338292","110627"
"575376","110171"
"707111","109975"
"714501","109590"
"83805","109538"
"616443","109443"
"398670","109121"
"3171","108611"
"122718","108340"
"3732271","108287"
"454533","107792"
"91299","107734"
"438992","107332"
"519413","107125"
"649665","107028"
"582","107020"
"3297613","107013"
"3560","106899"
"1679863","106851"
"8985","106451"
"23528","106441"
"9990","105455"
"1707091","105076"
"125816","104831"
"20713","104626"
"7714","103997"
"572644","103908"
"1902010","103876"
"8206","103781"
"82187","103758"
"352765","103467"
"128165","103452"
"13531","103214"
"98117","103094"
"116","103094"
"220819","103058"
"841108","103016"
"298661","103010"
"48082","102944"
"57428","102680"
"47738","102637"
"116862","102482"
"12855","102351"
"123527","102325"
"329769","102291"
"1103872","102186"
"524368","101921"
"4668","101906"
"7432","101839"
"41071","101628"
"572670","100774"
"5486","100132"